lncRNA,miRNA,mRNA,score
EBLN3P,hsa-miR-29a-3p,PTBP3,0.0008235144
GAS5,hsa-miR-29a-3p,RPL22,0.0008235144
GAS5,hsa-miR-29a-3p,CNBP,0.0008235144
OIP5-AS1,hsa-miR-23a-3p,TMED7,0.0008235144
OIP5-AS1,hsa-miR-23a-3p,TNPO1,0.0008235144
OIP5-AS1,hsa-miR-25-3p,NPM1,0.0008235144
OIP5-AS1,hsa-miR-25-3p,EEF1A1,0.0008235144
EBLN3P,hsa-miR-29a-3p,EIF3E,0.0008235144
NORAD,hsa-miR-30d-5p,ZBTB4,0.0008235144
NORAD,hsa-miR-30d-5p,APLP2,0.0008235144
OIP5-AS1,hsa-miR-25-3p,DHX9,0.0008235144
OIP5-AS1,hsa-miR-25-3p,GPBP1,0.0008235144
OIP5-AS1,hsa-miR-25-3p,SMARCA5,0.0008235144
OIP5-AS1,hsa-miR-25-3p,RPL7A,0.0008235144
OIP5-AS1,hsa-miR-25-3p,EIF4G2,0.0008235144
OIP5-AS1,hsa-miR-25-3p,EIF1,0.0008235144
OIP5-AS1,hsa-miR-25-3p,ATP2A2,0.0008235144
NORAD,hsa-miR-106b-5p,YTHDC1,0.0008235144
NORAD,hsa-miR-106b-5p,TBL1XR1,0.0008235144
OIP5-AS1,hsa-miR-25-3p,DDX3X,0.0008235144
OIP5-AS1,hsa-miR-25-3p,KIF5B,0.0008235144
OIP5-AS1,hsa-miR-25-3p,UBXN4,0.0008235144
OIP5-AS1,hsa-miR-25-3p,GPBP1L1,0.0008235144
OIP5-AS1,hsa-miR-30d-5p,PRKAR1A,0.0008235144
NORAD,hsa-miR-30d-5p,PRKAR1A,0.0008235144
OIP5-AS1,hsa-miR-22-3p,PTEN,0.0008235144
OIP5-AS1,hsa-miR-200c-3p,SP1,0.0008235144
OIP5-AS1,hsa-miR-30d-5p,ZFAND5,0.0008235144
OIP5-AS1,hsa-miR-25-3p,HNRNPA1,0.0008235144
OIP5-AS1,hsa-miR-22-3p,RAB5B,0.0008235144
OIP5-AS1,hsa-miR-25-3p,EIF4EBP2,0.0008235144
OIP5-AS1,hsa-miR-25-3p,WASL,0.0008235144
OIP5-AS1,hsa-miR-22-3p,BTF3,0.0008235144
NORAD,hsa-miR-106b-5p,ACTR2,0.0008235144
NORAD,hsa-miR-106b-5p,NAA50,0.0008235144
OIP5-AS1,hsa-miR-30e-5p,UBXN4,0.0008235144
NORAD,hsa-miR-106b-5p,YWHAZ,0.0008235144
NORAD,hsa-miR-106b-5p,WAC,0.0008235144
NORAD,hsa-miR-106b-5p,RAD23B,0.0008235144
NORAD,hsa-miR-106b-5p,EIF4G2,0.0008235144
NORAD,hsa-miR-106b-5p,HMGB1,0.0008235144
NORAD,hsa-miR-106b-5p,EIF4H,0.0008235144
OIP5-AS1,hsa-miR-28-5p,G3BP1,0.0008235144
NORAD,hsa-miR-106b-5p,PPP6R3,0.0008235144
NORAD,hsa-miR-106b-5p,HNRNPL,0.0008235144
OIP5-AS1,hsa-miR-23b-3p,PDCD6IP,0.00080353447
OIP5-AS1,hsa-miR-30e-5p,DCTN4,0.00080353447
NORAD,hsa-miR-30d-5p,VAPA,0.00080353447
OIP5-AS1,hsa-miR-30d-5p,VAPA,0.00080353447
OIP5-AS1,hsa-miR-28-5p,YIPF6,0.00078357355
OIP5-AS1,hsa-miR-28-5p,TMEM167A,0.00078357355
OIP5-AS1,hsa-miR-28-5p,N4BP1,0.00078357355
OIP5-AS1,hsa-miR-140-5p,RNF149,0.00078357355
OIP5-AS1,hsa-miR-140-5p,SPCS3,0.00078357355
FGD5-AS1,hsa-miR-140-5p,RNF149,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,MBNL1,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,MAP1LC3B,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,EIF1,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,MBNL2,0.00078357355
NORAD,hsa-miR-106b-5p,CLTC,0.00078357355
NORAD,hsa-miR-106b-5p,SETD2,0.00078357355
NORAD,hsa-miR-106b-5p,TAX1BP1,0.00078357355
NORAD,hsa-miR-106b-5p,TMBIM6,0.00078357355
NORAD,hsa-miR-106b-5p,ARCN1,0.00078357355
OIP5-AS1,hsa-miR-140-5p,PRPF8,0.00078357355
NORAD,hsa-miR-106b-5p,STAT3,0.00078357355
NORAD,hsa-miR-106b-5p,IPO7,0.00078357355
NORAD,hsa-miR-106b-5p,PPP1R15B,0.00078357355
NORAD,hsa-miR-106b-5p,RPL7,0.00078357355
NORAD,hsa-miR-106b-5p,CNOT7,0.00078357355
NORAD,hsa-miR-106b-5p,HUWE1,0.00078357355
NORAD,hsa-miR-106b-5p,CREB1,0.00078357355
NORAD,hsa-miR-106b-5p,WDR33,0.00078357355
NORAD,hsa-miR-106b-5p,SKIL,0.00078357355
NORAD,hsa-miR-106b-5p,ICMT,0.00078357355
NORAD,hsa-miR-106b-5p,PLRG1,0.00078357355
NORAD,hsa-miR-106b-5p,ITCH,0.00078357355
NORAD,hsa-miR-106b-5p,YTHDF2,0.00078357355
NORAD,hsa-miR-106b-5p,YIPF4,0.00078357355
NORAD,hsa-miR-106b-5p,TMEM123,0.00078357355
NORAD,hsa-miR-106b-5p,MAP3K2,0.00078357355
NORAD,hsa-miR-106b-5p,RAB22A,0.00078357355
NORAD,hsa-miR-106b-5p,DDX17,0.00078357355
NORAD,hsa-miR-106b-5p,ETF1,0.00078357355
NORAD,hsa-miR-106b-5p,ATXN7L3B,0.00078357355
NORAD,hsa-miR-106b-5p,AP2B1,0.00078357355
NORAD,hsa-miR-106b-5p,RLIM,0.00078357355
NORAD,hsa-miR-106b-5p,DNTTIP2,0.00078357355
NORAD,hsa-miR-106b-5p,KLF3,0.00078357355
NORAD,hsa-miR-106b-5p,AP1G1,0.00078357355
NORAD,hsa-miR-106b-5p,RAB5B,0.00078357355
NORAD,hsa-miR-106b-5p,MFN2,0.00078357355
NORAD,hsa-miR-106b-5p,EIF3F,0.00078357355
NORAD,hsa-miR-106b-5p,ABI2,0.00078357355
NORAD,hsa-miR-106b-5p,FAM199X,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,KIF5B,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,ATG12,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,FAM8A1,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,MTDH,0.00078357355
OIP5-AS1,hsa-miR-200c-3p,RHOA,0.00078357355
OIP5-AS1,hsa-miR-200c-3p,XIAP,0.00078357355
OIP5-AS1,hsa-miR-200c-3p,UBQLN1,0.00078357355
OIP5-AS1,hsa-miR-25-3p,MFF,0.00078357355
OIP5-AS1,hsa-miR-25-3p,SPCS3,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,SETD3,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,CPEB4,0.00078357355
NORAD,hsa-miR-30d-5p,UBXN4,0.00078357355
NORAD,hsa-miR-30d-5p,STX12,0.00078357355
OIP5-AS1,hsa-miR-22-3p,BTG1,0.00078357355
OIP5-AS1,hsa-miR-22-3p,MAPK14,0.00078357355
OIP5-AS1,hsa-miR-22-3p,CSNK2A1,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,DCTN4,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,PREPL,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,TSPYL1,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,PTAR1,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,NAP1L1,0.00078357355
NORAD,hsa-miR-30d-5p,ARPP19,0.00078357355
NORAD,hsa-miR-30d-5p,PCMTD2,0.00078357355
NORAD,hsa-miR-30d-5p,NAP1L1,0.00078357355
OIP5-AS1,hsa-miR-25-3p,ETFA,0.00078357355
OIP5-AS1,hsa-miR-25-3p,ANXA11,0.00078357355
OIP5-AS1,hsa-miR-25-3p,AP3M1,0.00078357355
OIP5-AS1,hsa-miR-25-3p,WDR11,0.00078357355
OIP5-AS1,hsa-miR-25-3p,SMAD5,0.00078357355
OIP5-AS1,hsa-miR-25-3p,VPS4B,0.00078357355
OIP5-AS1,hsa-miR-25-3p,PRPF8,0.00078357355
GAS5,hsa-miR-29a-3p,HDGF,0.00078357355
NORAD,hsa-miR-361-3p,VCP,0.00078357355
NORAD,hsa-miR-361-3p,EEF1A1,0.00078357355
NORAD,hsa-miR-361-3p,ANP32A,0.00078357355
NORAD,hsa-miR-361-3p,HNRNPF,0.00078357355
OIP5-AS1,hsa-miR-25-3p,CDC5L,0.00078357355
OIP5-AS1,hsa-miR-25-3p,YIPF4,0.00078357355
OIP5-AS1,hsa-miR-25-3p,GTF2A1,0.00078357355
OIP5-AS1,hsa-miR-25-3p,NUFIP2,0.00078357355
OIP5-AS1,hsa-miR-25-3p,CNOT2,0.00078357355
OIP5-AS1,hsa-miR-25-3p,BZW1,0.00078357355
OIP5-AS1,hsa-miR-25-3p,PTEN,0.00078357355
OIP5-AS1,hsa-miR-25-3p,MAP2K4,0.00078357355
NORAD,hsa-miR-30d-5p,SETD3,0.00078357355
NORAD,hsa-miR-30d-5p,TPRG1L,0.00078357355
NORAD,hsa-miR-30d-5p,MED29,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,SEC62,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,SYPL1,0.00078357355
NORAD,hsa-miR-28-3p,ARPP19,0.00078357355
OIP5-AS1,hsa-miR-23a-3p,PNRC2,0.00078357355
OIP5-AS1,hsa-miR-23a-3p,ERBIN,0.00078357355
EBLN3P,hsa-miR-29a-3p,SMAD4,0.00078357355
EBLN3P,hsa-miR-29a-3p,CDC42SE1,0.00078357355
GAS5,hsa-miR-29a-3p,COX7A2L,0.00078357355
NORAD,hsa-miR-28-3p,EZR,0.00078357355
NORAD,hsa-miR-28-3p,SNX1,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,SPCS3,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,ARPC5,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,JAK1,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,SSR1,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,CDC73,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,PGGT1B,0.00078357355
OIP5-AS1,hsa-miR-22-3p,LIN7C,0.00078357355
NORAD,hsa-miR-30d-5p,MCL1,0.00078357355
NORAD,hsa-miR-30d-5p,PGGT1B,0.00078357355
NORAD,hsa-miR-30d-5p,DCTN4,0.00078357355
NORAD,hsa-miR-30d-5p,TSPYL1,0.00078357355
NORAD,hsa-miR-30d-5p,VPS41,0.00078357355
NORAD,hsa-miR-182-5p,PPP1R11,0.00078357355
NORAD,hsa-miR-182-5p,RBM12,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,KIF5B,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,UBXN4,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,STX12,0.00078357355
OIP5-AS1,hsa-miR-30d-5p,MCL1,0.00078357355
OIP5-AS1,hsa-miR-22-3p,CREB1,0.00078357355
NORAD,hsa-miR-182-5p,RPL7L1,0.00078357355
NORAD,hsa-miR-182-5p,LZIC,0.00078357355
NORAD,hsa-miR-182-5p,STAG2,0.00078357355
NORAD,hsa-miR-182-5p,CREB1,0.00078357355
NORAD,hsa-miR-182-5p,RPL5,0.00078357355
NORAD,hsa-miR-182-5p,LSM14A,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,SERINC3,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,ATG12,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,TMED7,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,ERBIN,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,MED4,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,RAB14,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,CNDP2,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,TNKS2,0.00078357355
OIP5-AS1,hsa-miR-23a-3p,SPTY2D1,0.00078357355
OIP5-AS1,hsa-miR-23a-3p,ATXN7L3B,0.00078357355
OIP5-AS1,hsa-miR-23a-3p,JMJD1C,0.00078357355
OIP5-AS1,hsa-miR-23a-3p,KLF3,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,RAD23B,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,ZDHHC20,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,MBNL2,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,BTBD1,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,SON,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,ZFAND5,0.00078357355
OIP5-AS1,hsa-miR-23a-3p,RPL7L1,0.00078357355
OIP5-AS1,hsa-miR-23a-3p,NUFIP2,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,PPP2R5C,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,ADPGK,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,UBL3,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,TMEM59,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,RBMS1,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,CAST,0.00078357355
NORAD,hsa-miR-106b-5p,TXLNA,0.00078357355
NORAD,hsa-miR-106b-5p,TRIP12,0.00078357355
NORAD,hsa-miR-106b-5p,CNOT4,0.00078357355
NORAD,hsa-miR-106b-5p,DDX5,0.00078357355
NORAD,hsa-miR-106b-5p,MAPK1,0.00078357355
NORAD,hsa-miR-106b-5p,MAVS,0.00078357355
NORAD,hsa-miR-106b-5p,SH3GLB1,0.00078357355
NORAD,hsa-miR-106b-5p,PTP4A2,0.00078357355
NORAD,hsa-miR-106b-5p,WIPF2,0.00078357355
NORAD,hsa-miR-106b-5p,FBXO21,0.00078357355
NORAD,hsa-miR-106b-5p,PURB,0.00078357355
NORAD,hsa-miR-106b-5p,FBXW2,0.00078357355
NORAD,hsa-miR-106b-5p,CDC42,0.00078357355
NORAD,hsa-miR-106b-5p,THADA,0.00078357355
NORAD,hsa-miR-106b-5p,UBC,0.00078357355
NORAD,hsa-miR-106b-5p,PPM1B,0.00078357355
NORAD,hsa-miR-106b-5p,PPP3R1,0.00078357355
NORAD,hsa-miR-106b-5p,FNBP1L,0.00078357355
NORAD,hsa-miR-106b-5p,TRPC4AP,0.00078357355
NORAD,hsa-miR-106b-5p,NRBP1,0.00078357355
NORAD,hsa-miR-106b-5p,MCL1,0.00078357355
NORAD,hsa-miR-106b-5p,CSDE1,0.00078357355
NORAD,hsa-miR-106b-5p,NCOA3,0.00078357355
NORAD,hsa-miR-106b-5p,FOXJ3,0.00078357355
NORAD,hsa-miR-106b-5p,SMG7,0.00078357355
NORAD,hsa-miR-106b-5p,WASL,0.00078357355
NORAD,hsa-miR-106b-5p,KMT5B,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,TOR1AIP1,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,UBR3,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,COPA,0.00078357355
OIP5-AS1,hsa-miR-22-3p,ZFP91,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,PNRC2,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,RPL22,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,ATXN10,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,HNRNPL,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,STARD7,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,ATXN7L3B,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,ITFG1,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,ARFIP1,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,RAB5B,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,MAP4,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,UQCRC2,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,NPM1,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,G3BP1,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,RPS27A,0.00078357355
OIP5-AS1,hsa-miR-28-5p,TLK1,0.00078357355
OIP5-AS1,hsa-miR-23b-3p,GHITM,0.00078357355
NORAD,hsa-miR-106b-5p,PAFAH1B1,0.00078357355
NORAD,hsa-miR-106b-5p,PPP6C,0.00078357355
NORAD,hsa-miR-106b-5p,CRK,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,POLDIP3,0.00078357355
OIP5-AS1,hsa-miR-28-5p,USP9X,0.00078357355
OIP5-AS1,hsa-miR-28-5p,SNX1,0.00078357355
OIP5-AS1,hsa-miR-28-5p,ZFP91,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,PREPL,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,TSPYL1,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,JAK1,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,RAB10,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,PPP3CB,0.00078357355
NORAD,hsa-miR-106b-5p,LAMC1,0.00078357355
NORAD,hsa-miR-106b-5p,WDR1,0.00078357355
OIP5-AS1,hsa-miR-30e-5p,LIN7C,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,REEP5,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,NDFIP1,0.00078357355
OIP5-AS1,hsa-miR-30a-5p,LRRFIP1,0.00078357355
NORAD,hsa-miR-132-5p,YWHAG,0.00078357355
NORAD,hsa-miR-106b-5p,RAB10,0.00078357355
NORAD,hsa-miR-106b-5p,NUFIP2,0.00078357355
NORAD,hsa-miR-106b-5p,USP48,0.00078357355
NORAD,hsa-miR-106b-5p,LZIC,0.00078357355
